config,n,width_pips,tp_mult,cost_R,win_pct,timeout_pct,net_exp_R
Asian_00-07,225,29.6,1.0,0.034,52.4,19.1,0.197
Asian_00-07,225,29.6,2.0,0.034,26.2,39.6,0.293
Asian_00-07,225,29.6,3.0,0.034,12.0,52.0,0.301
OR15,226,11.2,1.0,0.089,64.2,0.4,0.194
OR15,226,11.2,2.0,0.089,41.6,2.2,0.188
OR15,226,11.2,3.0,0.089,30.5,4.4,0.223
OR30,247,14.5,1.0,0.069,57.9,0.8,0.095
OR30,247,14.5,2.0,0.069,35.6,6.5,0.083
OR30,247,14.5,3.0,0.069,21.9,13.4,0.035
OR60,235,20.3,1.0,0.049,50.2,5.1,-0.001
OR60,235,20.3,2.0,0.049,28.9,16.2,0.024
OR60,235,20.3,3.0,0.049,13.6,28.1,-0.034
